Qmethod,channelnum,period,deadline,capacity,throughput,utilisation,Queueing Delay,deadlineMissRatio,DMR1,DMR2,DMR3,DMR4,DMR5,DMR6,DMR7,DMR8,DMR9,DMR10,DMR11,DMR12,DMR13,DMR14,DMR15,DMR16,DMR17,DMR18,DMR19,DMR20,DMR21,DMR22,DMR23,DMR24,DMR25,DMR26,DMR27,DMR28,DMR29,DMR30
FCFS,23,5000,5000,2,0.00767927,0.959075,10663374,0.86023,0.769295,0.778796,0.786402,0.789643,0.79377,0.81455,0.819863,0.823661,0.83675,0.846423,0.860573,0.873122,0.880598,0.89104,0.897231,0.910632,0.923566,0.938071,0.942776,0.951847,0.969778,0.973199,0.995426,0.993284,0
FCFS,24,5000,5000,3,0.0076902,0.960442,11252100,0.861172,0.759621,0.767621,0.777467,0.786517,0.789068,0.805847,0.814422,0.815125,0.831137,0.839307,0.850166,0.859862,0.866472,0.884861,0.893925,0.906546,0.916427,0.938624,0.943412,0.946887,0.967973,0.978401,0.998049,1.0062,0.998805
FCFS,0,5000,4000,4,0.000806667,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,1,5000,4000,3,0.00140567,0.174875,6621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,2,5000,4000,2,0.00180593,0.224908,12550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,3,5000,4000,4,0.0025974,0.323842,17123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,4,5000,4000,2,0.0029982,0.373942,27472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,5,5000,4000,4,0.0037798,0.471642,48425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,6,5000,4000,3,0.0043626,0.544492,69027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,7,5000,4000,1,0.00455727,0.568825,89719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,8,5000,4000,2,0.0049448,0.617267,94686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,9,5000,4000,2,0.00531293,0.663283,133052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,10,5000,4000,3,0.00588933,0.735333,155806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,11,5000,4000,4,0.00662573,0.827383,262373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,12,5000,4000,3,0.00716173,0.894383,448487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCFS,13,5000,4000,4,0.00757467,0.946,1801389,0.690053,0.646027,0.670396,0.670557,0.694872,0.68154,0.697228,0.70022,0.699393,0.695829,0.68456,0.68603,0.718798,0.722491,0.75915,0,0,0,0,0,0,0,0,0,0,0
FCFS,14,5000,4000,4,0.00761387,0.9509,3565619,0.830722,0.790324,0.800523,0.799816,0.81216,0.808754,0.826418,0.834419,0.830026,0.838184,0.840231,0.847059,0.863123,0.868356,0.879697,0.885479,0,0,0,0,0,0,0,0,0,0
